BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
201305,30,1748,201305,30,1748,74801,456175,WISCONSIN,55,2013,May,Thunderstorm Wind,C,105,ROCK,MKX,30-MAY-13 17:48:00,CST-6,30-MAY-13 17:48:00,0,0,0,0,5.00K,,Law Enforcement,56.00,EG,,,,,,,,,,5,W,ORFORDVILLE,5,W,ORFORDVILLE,42.63,-89.3484,42.63,-89.3484,"Individual severe thunderstorms that developed over South Central Wisconsin, producing hail up to 1 inch in diameter, merged into several squall lines that produced damaging wind gusts as they moved east through Southeast Wisconsin during the afternoon and evening hours of May 30th. Overall forcing for ascent over the region was provided by  differential vorticity advection ahead of a progressive 500 mb negatively-tilted trough, with the storms developing on the nose of a moderate to strong low-level jet ahead of the wave. Moderate instability, reflected in mixed-layer CAPE values of 1000 to 1200 J/kg, and favorable wind shear contributed to conditions that produced broken bands of thunderstorms with damaging wind gusts and downbursts.",Law enforcement officials reported a few trees and power lines blown down by thunderstorm wind gusts estimated at 65 mph (56 knots) 5 miles west of Orfordville.,CSV
201305,30,1812,201305,30,1812,74801,456176,WISCONSIN,55,2013,May,Thunderstorm Wind,C,105,ROCK,MKX,30-MAY-13 18:12:00,CST-6,30-MAY-13 18:12:00,0,0,0,0,5.00K,,Law Enforcement,56.00,EG,,,,,,,,,,0,N,EDGERTON,0,N,EDGERTON,42.83,-89.07,42.83,-89.07,"Individual severe thunderstorms that developed over South Central Wisconsin, producing hail up to 1 inch in diameter, merged into several squall lines that produced damaging wind gusts as they moved east through Southeast Wisconsin during the afternoon and evening hours of May 30th. Overall forcing for ascent over the region was provided by  differential vorticity advection ahead of a progressive 500 mb negatively-tilted trough, with the storms developing on the nose of a moderate to strong low-level jet ahead of the wave. Moderate instability, reflected in mixed-layer CAPE values of 1000 to 1200 J/kg, and favorable wind shear contributed to conditions that produced broken bands of thunderstorms with damaging wind gusts and downbursts.",Law enforcement officials reported eight trees and two power lines blown down by thunderstorm wind gusts estimated at 65 mph (56 knots) in Edgerton.,CSV
201304,29,1351,201304,29,1351,73172,442249,WISCONSIN,55,2013,April,Hail,C,103,RICHLAND,ARX,29-APR-13 13:51:00,CST-6,29-APR-13 13:51:00,0,0,0,0,0.00K,0.00K,Amateur Radio,0.75,,,,,,,,,,,0,N,GILLINGHAM,0,N,GILLINGHAM,43.43,-90.45,43.43,-90.45,"A complex of thunderstorms developed over north central Iowa along a cold front during the early morning hours of April 29th. As these storms moved east with the cold front, they produced large hail over the very southwest portion of Wisconsin. The largest hail reported was quarter sized in Hazel Green (Grant County).",,CSV
201304,8,600,201304,10,1500,73378,443458,WISCONSIN,55,2013,April,Flood,C,53,JACKSON,ARX,08-APR-13 06:00:00,CST-6,10-APR-13 15:00:00,0,0,0,0,0.00K,0.00K,Emergency Manager,,,Ice Jam,,,,,,,,,4,E,HATFIELD,4,E,HATFIELD,44.4174,-90.6399,44.4174,-90.6392,"Several township and county roads were closed across Jackson County as a result of flooding. The flooding resulted from ice jams, runoff from melting snow and several rounds of rain. Some of the road closures only lasted a couple of days, while others persisted for weeks.",East Fork Road in the Town of Komensky was closed due to flooding caused by an ice jam on the East Fork of the Black River.,CSV
201304,9,600,201304,23,1500,73378,443665,WISCONSIN,55,2013,April,Flood,C,53,JACKSON,ARX,09-APR-13 06:00:00,CST-6,23-APR-13 15:00:00,0,0,0,0,0.00K,0.00K,Emergency Manager,,,Heavy Rain / Snow Melt,,,,,,,,,2,S,NORTH BEND,2,S,NORTH BEND,44.0745,-91.1233,44.0756,-91.1213,"Several township and county roads were closed across Jackson County as a result of flooding. The flooding resulted from ice jams, runoff from melting snow and several rounds of rain. Some of the road closures only lasted a couple of days, while others persisted for weeks.",County Highway VV south of North Bend was closed from April 9th to April 23rd due to flooding and high water on the Black River.,CSV
201305,30,1810,201305,30,1810,74801,456179,WISCONSIN,55,2013,May,Thunderstorm Wind,C,25,DANE,MKX,30-MAY-13 18:10:00,CST-6,30-MAY-13 18:10:00,0,0,0,0,75.00K,,Broadcast Media,56.00,EG,,,,,,,,,,0,N,MIDDLETON,0,N,MIDDLETON,43.1,-89.5,43.1,-89.5,"Individual severe thunderstorms that developed over South Central Wisconsin, producing hail up to 1 inch in diameter, merged into several squall lines that produced damaging wind gusts as they moved east through Southeast Wisconsin during the afternoon and evening hours of May 30th. Overall forcing for ascent over the region was provided by  differential vorticity advection ahead of a progressive 500 mb negatively-tilted trough, with the storms developing on the nose of a moderate to strong low-level jet ahead of the wave. Moderate instability, reflected in mixed-layer CAPE values of 1000 to 1200 J/kg, and favorable wind shear contributed to conditions that produced broken bands of thunderstorms with damaging wind gusts and downbursts.","Madison TV 27 reported numerous trees and power lines blown down by thunderstorm wind gusts estimated at 65 mph (56 knots) in Middleton. Some cars were damaged by the downed trees, as well as a tree piercing the roof of a condominium. A shed was also destroyed by the damaging thunderstorm wind gusts.",CSV
201305,30,1830,201305,30,1830,74801,456181,WISCONSIN,55,2013,May,Thunderstorm Wind,C,25,DANE,MKX,30-MAY-13 18:30:00,CST-6,30-MAY-13 18:30:00,0,0,0,0,10.00K,,Public,56.00,EG,,,,,,,,,,3,W,COTTAGE GROVE,3,W,COTTAGE GROVE,43.08,-89.2595,43.08,-89.2595,"Individual severe thunderstorms that developed over South Central Wisconsin, producing hail up to 1 inch in diameter, merged into several squall lines that produced damaging wind gusts as they moved east through Southeast Wisconsin during the afternoon and evening hours of May 30th. Overall forcing for ascent over the region was provided by  differential vorticity advection ahead of a progressive 500 mb negatively-tilted trough, with the storms developing on the nose of a moderate to strong low-level jet ahead of the wave. Moderate instability, reflected in mixed-layer CAPE values of 1000 to 1200 J/kg, and favorable wind shear contributed to conditions that produced broken bands of thunderstorms with damaging wind gusts and downbursts.",The public reported trees and power lines downed by thunderstorm wind gusts estimated at 65 mph (56 knots) 3 miles west of Cottage Grove.,CSV
201301,1,0,201301,31,2359,70557,423703,WISCONSIN,55,2013,January,Drought,Z,32,BUFFALO,ARX,01-JAN-13 00:00:00,CST-6,31-JAN-13 23:59:00,0,0,0,0,,,Drought Monitor,,,,,,,,,,,,,,,,,,,,,,"Snowfall amounts averaged 3 to 10 inches across western Wisconsin in the counties still affected by the drought. This was not enough precipitation for any change in the drought conditions and a severe drought remained across Buffalo, Grant, Taylor, and Trempealeau Counties.",Snowfall amounts across Buffalo County averaged 3 to 4 inches during January from about a half to three quarters of an inch of liquid precipitation. This was not enough to create any change in the drought conditions with the entire county remaining in a severe drought.,CSV
201301,1,0,201301,31,2359,70557,423704,WISCONSIN,55,2013,January,Drought,Z,61,GRANT,ARX,01-JAN-13 00:00:00,CST-6,31-JAN-13 23:59:00,0,0,0,0,,,Drought Monitor,,,,,,,,,,,,,,,,,,,,,,"Snowfall amounts averaged 3 to 10 inches across western Wisconsin in the counties still affected by the drought. This was not enough precipitation for any change in the drought conditions and a severe drought remained across Buffalo, Grant, Taylor, and Trempealeau Counties.",Snowfall amounts across southern Grant County averaged 5 to 8 inches during January from about 1.5 to 2 inches of liquid precipitation. This was not enough to create any change in the drought conditions with the far southern portions of the county remaining in a severe drought.,CSV
201301,1,0,201301,31,2359,70557,423705,WISCONSIN,55,2013,January,Drought,Z,17,TAYLOR,ARX,01-JAN-13 00:00:00,CST-6,31-JAN-13 23:59:00,0,0,0,0,,,Drought Monitor,,,,,,,,,,,,,,,,,,,,,,"Snowfall amounts averaged 3 to 10 inches across western Wisconsin in the counties still affected by the drought. This was not enough precipitation for any change in the drought conditions and a severe drought remained across Buffalo, Grant, Taylor, and Trempealeau Counties.",Snowfall amounts across Taylor County averaged 7 to 10 inches during January from about three quarters of an inch of liquid precipitation. This was not enough to create any change in the drought conditions with the northern half of the county remaining in a severe drought.,CSV
