BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
201603,15,2316,201603,15,2316,102911,614969,WISCONSIN,55,2016,March,Hail,C,105,ROCK,MKX,15-MAR-16 23:16:00,CST-6,15-MAR-16 23:16:00,0,0,0,0,0.00K,0.00K,Public,1.00,,,,,,,,,,,1,N,EDGERTON,1,N,EDGERTON,42.84,-89.07,42.84,-89.07,"A deepening low pressure area tracked from Western Illinois into Southern Wisconsin. Numerous thunderstorms developed with most producing small hail, however one large hail report was received. In addition, lightning struck a tree and the buried gas line below it. The gas line ruptured causing a fire in the front yard of the residence.",,CSV
201603,15,2239,201603,15,2300,102911,619253,WISCONSIN,55,2016,March,Lightning,C,133,WAUKESHA,MKX,15-MAR-16 22:39:00,CST-6,15-MAR-16 23:00:00,0,0,0,0,1.00K,0.00K,Law Enforcement,,,,,,,,,,,,1,NNE,HARTLAND,1,NNE,HARTLAND,43.1069,-88.3468,43.1069,-88.3468,"A deepening low pressure area tracked from Western Illinois into Southern Wisconsin. Numerous thunderstorms developed with most producing small hail, however one large hail report was received. In addition, lightning struck a tree and the buried gas line below it. The gas line ruptured causing a fire in the front yard of the residence.",Lightning struck a tree and then traveled into the ground rupturing a gas line. This sparked a fire in the front yard of the residence. Two homes were evacuated for a short time. No homes were damaged and no one was injured.,CSV
201604,2,530,201604,2,1300,104281,624403,WISCONSIN,55,2016,April,Strong Wind,Z,32,BUFFALO,ARX,02-APR-16 05:30:00,CST-6,02-APR-16 13:00:00,0,0,0,0,0.20K,0.00K,Mesonet,39.00,EG,,,,,,,,,,,,,,,,,,,,"Western Wisconsin experienced strong winds in early April after a cold front moved across the region. Gusts of 40 to 50 mph were common, although a peak gust of 53 mph occurred in La Crosse.  A camper was tipped over by the strong winds on U.S. Highway 18 near Patch Grove (Grant County) and was destroyed.",Wind gusts of 40 to 45 mph were common across Buffalo County during the morning and early afternoon of April 2nd.,CSV
201604,2,700,201604,2,1415,104281,624397,WISCONSIN,55,2016,April,Strong Wind,Z,54,CRAWFORD,ARX,02-APR-16 07:00:00,CST-6,02-APR-16 14:15:00,0,0,0,0,0.20K,0.00K,Mesonet,43.00,MG,,,,,,,,,,,,,,,,,,,,"Western Wisconsin experienced strong winds in early April after a cold front moved across the region. Gusts of 40 to 50 mph were common, although a peak gust of 53 mph occurred in La Crosse.  A camper was tipped over by the strong winds on U.S. Highway 18 near Patch Grove (Grant County) and was destroyed.",Wind gusts of 40 to 50 mph were common across Crawford County during the morning and early afternoon of April 2nd. The highest recorded wind gust was 49 mph by a mesonet station near Mt. Sterling.,CSV
201604,2,800,201604,2,1400,104281,624401,WISCONSIN,55,2016,April,Strong Wind,Z,43,JUNEAU,ARX,02-APR-16 08:00:00,CST-6,02-APR-16 14:00:00,0,0,0,0,0.20K,0.00K,AWOS,39.00,MG,,,,,,,,,,,,,,,,,,,,"Western Wisconsin experienced strong winds in early April after a cold front moved across the region. Gusts of 40 to 50 mph were common, although a peak gust of 53 mph occurred in La Crosse.  A camper was tipped over by the strong winds on U.S. Highway 18 near Patch Grove (Grant County) and was destroyed.",Wind gusts of 40 to 45 mph were common across Juneau County during the morning and early afternoon of April 2nd. The highest recorded wind gust was 45 mph by the automated weather observing equipment at Volk Field.,CSV
201604,2,730,201604,2,1400,104281,624398,WISCONSIN,55,2016,April,Strong Wind,Z,53,VERNON,ARX,02-APR-16 07:30:00,CST-6,02-APR-16 14:00:00,0,0,0,0,0.20K,0.00K,AWOS,42.00,MG,,,,,,,,,,,,,,,,,,,,"Western Wisconsin experienced strong winds in early April after a cold front moved across the region. Gusts of 40 to 50 mph were common, although a peak gust of 53 mph occurred in La Crosse.  A camper was tipped over by the strong winds on U.S. Highway 18 near Patch Grove (Grant County) and was destroyed.",Wind gusts of 40 to 50 mph were common across Vernon County during the morning and early afternoon of April 2nd. The highest recorded wind gust was 48 mph by the automated weather observing equipment at the Viroqua airport.,CSV
201604,2,615,201604,2,1215,104281,624399,WISCONSIN,55,2016,April,Strong Wind,Z,33,TREMPEALEAU,ARX,02-APR-16 06:15:00,CST-6,02-APR-16 12:15:00,0,0,0,0,0.20K,0.00K,Mesonet,41.00,MG,,,,,,,,,,,,,,,,,,,,"Western Wisconsin experienced strong winds in early April after a cold front moved across the region. Gusts of 40 to 50 mph were common, although a peak gust of 53 mph occurred in La Crosse.  A camper was tipped over by the strong winds on U.S. Highway 18 near Patch Grove (Grant County) and was destroyed.",Wind gusts of 40 to 50 mph were common across Trempealeau County during the morning and early afternoon of April 2nd. The highest recorded wind gust was 47 mph by a mesonet station south of Arcadia.,CSV
201604,2,730,201604,2,1230,104281,624400,WISCONSIN,55,2016,April,Strong Wind,Z,61,GRANT,ARX,02-APR-16 07:30:00,CST-6,02-APR-16 12:30:00,0,0,0,0,15.00K,0.00K,AWOS,41.00,MG,,,,,,,,,,,,,,,,,,,,"Western Wisconsin experienced strong winds in early April after a cold front moved across the region. Gusts of 40 to 50 mph were common, although a peak gust of 53 mph occurred in La Crosse.  A camper was tipped over by the strong winds on U.S. Highway 18 near Patch Grove (Grant County) and was destroyed.",Wind gusts of 40 to 50 mph were common across Grant County during the morning and early afternoon of April 2nd. The highest recorded wind gust was 47 mph by the automated weather observing equipment at the Platteville airport. A camper was destroyed when the strong winds tipped it over along U.S. Highway 18 near Patch Grove.,CSV
201604,2,730,201604,2,1300,104281,624402,WISCONSIN,55,2016,April,Strong Wind,Z,42,MONROE,ARX,02-APR-16 07:30:00,CST-6,02-APR-16 13:00:00,0,0,0,0,0.20K,0.00K,AWOS,35.00,MG,,,,,,,,,,,,,,,,,,,,"Western Wisconsin experienced strong winds in early April after a cold front moved across the region. Gusts of 40 to 50 mph were common, although a peak gust of 53 mph occurred in La Crosse.  A camper was tipped over by the strong winds on U.S. Highway 18 near Patch Grove (Grant County) and was destroyed.",Wind gusts of 35 to 40 mph were common across Monroe County during the morning and early afternoon of April 2nd. The highest recorded gust was 40 mph by the automated weather observing equipment at the Sparta airport.,CSV
201607,5,1928,201607,5,1936,105708,650166,WISCONSIN,55,2016,July,Thunderstorm Wind,C,93,PIERCE,MPX,05-JUL-16 19:28:00,CST-6,05-JUL-16 19:36:00,0,0,0,0,0.00K,0.00K,NWS Storm Survey,56.00,EG,,,,,,,,,,5,NNE,ESDAILE,4,NNW,PLUM CITY,44.6834,-92.3715,44.6812,-92.2076,"The afternoon of Tuesday, July 5th, two areas of thunderstorms that developed across west central Minnesota, moved southeast across central and southern Minnesota, and into portions of west central Wisconsin.  ||The southern storm affected the southern part of the Twin Cities metro area during the late afternoon, and moved eastward into west central Wisconsin from near Prescott and Hager City to Eau Claire Wisconsin by early evening. These storms produced damaging winds and two tornadoes near Plum City and Porcupine.||The hardest hit areas were in Pierce County from Prescott and Bay City, eastward to Ellsworth, Salem and Maiden Rock. Hundreds of trees were blown down with some structural damage to bridges near Ellsworth and home damage in Plum City. Local law enforcement officers reported a swept away trailer house at Highway 10 and 490th Avenue in the Town of Salem. There was also damage to a milking parlor in Ellsworth where 3 feet of water filled the calf barn. ||The Pepin County Emergency Manager released a press statement that provided detailed information on widespread damage throughout the county. There was also structural damage to homes and agricultural, and at least three commercial properties in the Town of Waubeek's business park were damaged. ||In addition to structural damage to homes and businesses, crop damage was extensive and the local emergency management submitted a disaster report based|on the widespread nature of the damage.",Numerous trees were downed from a storm that would go on to produce a tornado at Nugget Lake (see separate entry for the tornado). Local law enforcement officials also indicated a trailer house was blown over at Highway 10 and 490th Avenue in the Town of Salem.,CSV
