state,county,tract_fips,social_vulnerability,resilience,heatwave_eals,heatwave_risk,flood_eals,flood_risk,tornado_eals,tornado_risk,winter_eals,winter_risk
Wisconsin,Adams,55001950100,10.710000038146973,10.699999809265137,80.983864527796698,73.781096893878129,83.731827042769567,79.523616990914718,90.698439943099658,82.008990153641250,73.884961364116776,67.474908433620314
Wisconsin,Adams,55001950201,30.360000610351562,10.699999809265137,64.270615590577080,61.135423108024547,55.708481104821850,54.738857441849397,63.032412033716980,60.733482376444847,56.306221668976207,53.795842648527803
Wisconsin,Adams,55001950203,45.540000915527344,10.699999809265137,56.238109777579446,55.790087047519386,63.918312704042094,64.592351234362368,59.962850189863751,60.030680683061412,49.170913873687674,49.199686058126815
Wisconsin,Adams,55001950204,44.049999237060547,10.699999809265137,68.137726941776080,67.386909575227122,58.501068652089160,59.056747371925987,67.652625762687961,67.459449174713399,60.372971322545034,60.216191789944354
Wisconsin,Adams,55001950400,82.099998474121094,10.699999809265137,86.378796063602408,89.738619607096993,47.592596942010942,52.014460352946770,91.326224709326254,95.609570470437149,78.959297273175650,84.053179850639779
Wisconsin,Adams,55001950501,54.729999542236328,10.699999809265137,64.615872419381361,65.573419588070209,74.101040467858240,75.426913380583173,63.393329492952120,65.038291395138657,56.747774620100053,58.309946249345955
Wisconsin,Adams,55001950502,74.139999389648438,10.699999809265137,83.693073725250727,86.494553584169722,79.400850224299504,82.370498977310575,83.916248339427000,89.130951814679165,75.510252013998169,79.985016410597922
Wisconsin,Adams,55001950700,30.420000076293945,10.699999809265137,83.903281114216597,80.850734909384954,89.642295135871478,88.241449840650716,93.598711512914264,90.644770013794414,76.844305611010640,74.709841602054894
Wisconsin,Ashland,55003940000,65.400001525878906,64.519996643066406,35.346548606054910,36.725253294011324,37.776264180191184,38.925224753841029,16.015565300196329,16.065737525567236,80.511778659839820,82.390714931265748
Wisconsin,Ashland,55003950300,55.950000762939453,64.519996643066406,39.427390375085139,39.748132997193551,33.379524156234588,33.796318318032633,26.352852658680241,25.934690576987109,85.555581652065669,85.895210008086380
Wisconsin,Ashland,55003950400,45.970001220703125,64.519996643066406,36.587829109613175,35.861913142748421,40.766141343918079,40.912334110260190,22.334559904068847,20.207629738857442,82.582145289710411,82.029206107596437
Wisconsin,Ashland,55003950500,25.680000305175781,64.519996643066406,36.840312844963243,34.015126290253534,53.158982549263690,51.510250677829042,21.504567310518333,16.779241782809304,82.699579585222068,79.641345193359655
Wisconsin,Ashland,55003950600,44.709999084472656,64.519996643066406,29.982149987082231,29.317889930076586,51.605326819644404,51.711221043618892,25.412351136243398,23.592018265708987,73.598421683068324,73.088997764353323
Wisconsin,Ashland,55003950700,32.990001678466797,64.519996643066406,35.321887403997465,33.393188412690861,60.631326772670690,59.629929125243784,44.751413691350912,42.203776815868331,81.383141132536338,79.298863149883459
Wisconsin,Ashland,55003950800,68.480003356933594,64.519996643066406,42.418441881767151,44.510773914284357,52.265307560419949,54.657993626028635,27.515547665792784,28.531846073348238,88.290626394532254,89.579270322979596
Wisconsin,Barron,55005000100,16.799999237060547,65.360000610351562,82.569227517204126,76.648194834229173,52.474340606430701,49.643247871378968,81.628478386099388,74.516006278837466,90.453766117857057,86.889359273176993
Wisconsin,Barron,55005000200,75.970001220703125,65.360000610351562,82.959109378302841,85.231651048851248,40.267045587993515,42.578366550920421,79.565253171253573,84.558578699519572,89.840759095286188,91.575893069495322
Wisconsin,Barron,55005000300,58.849998474121094,65.360000610351562,83.728304013904221,83.795129144270561,44.443009136388191,45.663083289730295,84.098470509399135,85.412405460685918,90.379782511684709,90.780335822670409
Wisconsin,Barron,55005000400,83.990013122558594,65.360000610351562,88.243652676327599,90.613851495980597,47.394132982596240,51.072634733387247,90.529149669061027,94.331208676211759,92.824764544237510,94.683204109784526
Wisconsin,Barron,55005000500,72.309997558593750,65.360000610351562,85.050614181365518,86.619416829187074,39.335791624586044,41.175141511677687,87.873408495080000,90.780335822670409,92.109589684571475,93.350140322503933
Wisconsin,Barron,55005000601,52.950000762939453,65.360000610351562,73.038260093477703,73.060457594063649,32.484674824435729,32.752223754935073,69.852223698287105,70.652380725871666,84.105268102496652,84.238690957522707
Wisconsin,Barron,55005000602,53.689998626708984,65.360000610351562,80.825328228855952,80.472577653046656,41.161894919792374,41.863673119916285,76.144178883389571,77.059648955905431,88.413932404819505,88.384150692099126
Wisconsin,Barron,55005000800,21.590000152587891,65.360000610351562,87.842027385677710,83.386053370118447,39.829015665735021,38.354421348047374,86.815344282338557,80.821005565333209,92.285741127838975,89.899158064976461
Wisconsin,Barron,55005000900,46.750000000000000,65.360000610351562,86.813302956995557,85.411216286923846,59.681283321981347,60.068734243447651,87.164505472543226,86.021262426865817,91.563520210442263,91.080007610712073
Wisconsin,Barron,55005001001,24.209999084472656,65.360000610351562,69.097165136106355,64.693431004138318,43.886370575662916,42.313180801978781,63.385100104630801,59.603767302478239,78.461375860206218,74.839461542120532
Wisconsin,Barron,55005001003,7.750000000000000,65.360000610351562,64.553632242760173,55.322741759025831,41.298118702585903,38.140370070874759,66.006748098423486,57.707035151976406,77.546562698170376,69.799743138467392
Wisconsin,Barron,55005001004,51.479999542236328,65.360000610351562,82.521079456044347,81.764020358654804,39.809051835498039,40.289207058935453,84.857925488766881,84.708414593540411,89.960542076708080,89.793321600152211
Wisconsin,Bayfield,55007960100,63.500000000000000,63.909999847412109,48.535594334969581,50.294915092993385,75.298870282077175,76.883651239119061,24.575304781274614,24.706274080768679,65.129060290767313,67.284640631689115
Wisconsin,Bayfield,55007960200,19.829999923706055,63.909999847412109,40.181318552270007,36.211530228797031,52.918242243464789,50.524425629072923,25.508752542293177,20.394330019502448,55.829438429198866,51.089283166056219
Wisconsin,Bayfield,55007960300,39.799999237060547,63.909999847412109,50.932428306362588,49.469628502116727,48.266669798247882,47.893973267373831,33.997954409188701,32.816439138086857,66.946943185287836,65.670931836559959
Wisconsin,Bayfield,55007960401,39.419998168945312,63.909999847412109,41.279329215304038,39.788564905103932,39.980505906945062,39.704133567996955,29.262529243719214,27.720829567616416,57.552199544354934,55.949436331636782
Wisconsin,Bayfield,55007960402,26.790000915527344,63.909999847412109,48.162153275242503,45.200494696285020,62.722831575733373,60.922561004613996,32.598958394563901,30.118203871949767,65.349836766329233,61.935737049897732
Wisconsin,Bayfield,55007960600,21.430000305175781,63.909999847412109,42.488902459074147,38.855063501878895,90.857740094417167,88.658849831137317,48.669778159203396,44.196832041097842,62.086337694060177,57.447795271845123
Wisconsin,Brown,55009000100,80.459999084472656,96.169998168945312,29.338610047678326,31.290729201350903,64.341076167884069,67.938686200827675,66.270088524705798,71.191076440089432,70.534560913169088,74.538600580316796
Wisconsin,Brown,55009000200,62.470001220703125,96.169998168945312,40.523052352208936,41.308328973029539,0,0,74.111519968022947,76.099985729914849,84.188646452309939,84.980735385054459
Wisconsin,Brown,55009000302,86.900001525878906,96.169998168945312,36.742842379688561,40.260666888645765,56.949761608380115,61.223421966417732,71.154818306862140,77.817152642344098,80.356765389764433,84.262474432764108
Wisconsin,Brown,55009000303,81.860000610351562,96.169998168945312,30.058482279164807,32.315796984255343,0,0,63.951752271898989,68.718784188745659,71.307278577635813,75.479237026114248
Wisconsin,Brown,55009000401,86.919998168945312,96.169998168945312,37.219625619465909,40.713742091994483,0,0,71.063119408424541,77.743423869095750,80.811236113394557,84.660847643057608
Wisconsin,Brown,55009000402,18.170000076293945,96.169998168945312,27.705098997111115,24.640869523854825,0,0,58.380456378363768,53.430766303572277,66.444324400497919,61.083099462493465
Wisconsin,Brown,55009000500,45.020000457763672,96.169998168945312,30.532916833031919,29.657993626028635,80.083143481222251,79.388051182038723,60.145072359835879,59.183988964467495,71.476383963172609,70.692812633782040
Wisconsin,Brown,55009000600,5.010000228881836,96.169998168945312,33.784672475749815,27.794558340864768,0,0,66.310059839409362,56.617751985920187,76.534279070859853,67.278694762878757
Wisconsin,Brown,55009000700,45.009998321533203,96.169998168945312,37.265424994715460,36.140179803072826,58.786433990182495,58.765399800218809,70.612854304557899,69.535746563287830,80.807713084529212,79.933881938828904
Wisconsin,Brown,55009000800,77.889999389648438,96.169998168945312,25.328228855955093,26.318793702135757,77.679263452098553,80.132473957094604,58.503897203183598,62.199733625077293,61.887873734645474,65.725633829615177
Wisconsin,Brown,55009000900,91.759986877441406,96.169998168945312,34.638419804119600,38.664795699947675,96.193954482467063,97.082956761642009,77.183433065682266,84.691766160871424,78.848909035394698,83.553726870570330
Wisconsin,Brown,55009001000,45.369998931884766,96.169998168945312,24.788031096601451,23.655044475098702,61.970077741503630,61.867954145459734,65.994991829393030,64.974076011986867,62.519670244498201,61.565904009893927
Wisconsin,Brown,55009001100,91.750000000000000,96.169998168945312,27.305822392371471,29.886314988346097,63.601240106160603,68.530894734338574,56.927381526198850,62.769347857108883,65.482537520257409,71.509775008324212
Wisconsin,Brown,55009001200,91.069999694824219,96.169998168945312,27.597059445240390,30.185986776387765,54.422575568969165,59.117395233791555,54.232844664417300,59.746468153926649,65.628156046691871,71.547828568710457
Wisconsin,Brown,55009001300,69.870002746582031,96.169998168945312,30.693801817882893,31.893640298720449,0,0,69.373743548747370,72.687057032773623,72.993635061183269,75.420967511772815
Wisconsin,Brown,55009001400,51.709999084472656,96.169998168945312,34.090001644080139,33.749940541311894,82.005542898748146,81.960234029396375,65.387192720518215,65.307044665366504,76.829039152594120,76.815868334681056
Wisconsin,Brown,55009001600,91.910003662109375,96.169998168945312,41.949879042675626,46.659610902345051,38.376353430255769,41.176330685439751,77.751260859853517,85.279217999334065,85.648354745519882,89.115492555772249
Wisconsin,Brown,55009001701,89.089996337890625,96.169998168945312,33.343119524625969,36.862008276649384,85.563802052751484,88.071397992674690,63.348655670636369,69.476287875184312,75.720459402964053,80.648575369833040
Wisconsin,Brown,55009001702,86.660003662109375,96.169998168945312,32.647908495196937,35.853588926413927,80.343847617258149,83.290919469152840,62.464584239545736,67.875659991437956,74.873758132324966,79.603291632973409
Wisconsin,Brown,55009001801,60.819999694824219,96.169998168945312,40.182492895225117,40.693526138039289,38.692251685182136,39.406840127479427,70.726890114153377,72.468249060552722,83.805810648941915,84.476525709936737
Wisconsin,Brown,55009001802,22.280000686645508,96.169998168945312,42.158912088686378,38.488797983161298,80.414308194565137,77.482994815202403,81.709596642409565,75.796746420586985,86.210865021020737,82.758169623745431
Wisconsin,Brown,55009002001,72.330001831054688,96.169998168945312,45.835779881156490,48.244779527184512,39.149071094722501,40.678066879132381,85.456319582417322,88.192693716405842,89.091528289921783,90.316558055463076
